Оффер	Гео	Цен. категория	Ссылка на скрипт
Кардитенс	УЗ	29990	"https://script.adtika.com/script/31f6ec95-a63c-435c-8b42-da31c8833f5f
"
Кардитенс	РУ	фри	https://script.adtika.com/script/f696d5bb-a02b-4438-b5ef-68414b21d5a7
Кардитенс	РУ	168	"https://script.adtika.com/script/6e6a692b-5e42-479a-aeb5-7e91cffe153c
"
Фруктовые деревья	РФ	Фри	http://script.adtika.com/script/37d29d71-283a-4801-b9a6-d7bb94e3af7b
Фруктовые деревья	РФ	168	http://script.adtika.com/script/012dfa07-7929-4518-a604-c1a85cedb19a
Фруктовые деревья	КЗ	Фри	http://script.adtika.com/script/017e598c-73c3-4e5e-9ef2-1aa68e43ebed
Фруктовые деревья	КЗ	990	http://script.adtika.com/script/47b1a2fb-21f4-4efa-97b5-c98b8b917533
ГарденБокс	РФ	Фри	http://script.adtika.com/script/622350e9-f50d-4f6a-bc71-ca312f01dcaf
ГарденБокс	РФ	168	http://script.adtika.com/script/f397235b-ad8d-4b0d-a193-4883b82ece42
Кардипал	КЗ	Фри	http://script.adtika.com/script/12ee9c85-7ae2-48cc-9063-8cead306bb61
Кардипал	КЗ	990	http://script.adtika.com/script/7ea75f24-5408-4a76-b64e-dc50a4c9fcc9
Кардипал	УЗ	29990	http://script.adtika.com/script/0491c4b0-c64b-473f-8dba-fc6a814669e0
Кардипал	УЗ	Фри	http://script.adtika.com/script/dfafda76-5e37-4b93-9942-b0fa8a80cec8
Ливерфорт	РФ	Фри	http://script.adtika.com/script/ad64e591-a5e3-4679-9aa4-11342b3f767b
Ливерфорт	РФ	168	http://script.adtika.com/script/63083b2f-79af-4a78-8815-2cb07c4f2c4b
Ливерфорт	КЗ	Фри	http://script.adtika.com/script/4f45a453-3847-4594-b409-03460caaa8fe
Ливерфорт	КЗ	990	http://script.adtika.com/script/e7bbade4-f87a-4195-80f1-2eb53007f7c4
Лоропакс	КЗ	Фри	http://script.adtika.com/script/550afbcf-0c36-4290-a5b5-108040f5137a
Лоропакс	КЗ	990	http://script.adtika.com/script/b44c118d-6f1b-4ea4-b30f-65f40723dd83
Лоропакс	УЗ	Фри	http://script.adtika.com/script/595bfb31-e5dc-451d-b199-0531ad45ec25
Лоропакс	УЗ	29990	http://script.adtika.com/script/ca58ad71-e90a-44d7-8379-f55339fdd6ff
Отифлекс	РФ	Фри	"http://script.adtika.com/script/5e0682eb-2ba8-4c80-a2e6-91879bd14e9b
"
Отифлекс	РФ	168	http://script.adtika.com/script/a19a3ded-3d06-4750-aef1-429161bd44f4
Отифлекс	КЗ	Фри	"http://script.adtika.com/script/f2c1ecc3-a481-48f5-be7c-903c5b0b2308
"
Отифлекс	КЗ	990	"http://script.adtika.com/script/2ff525b5-07ea-4b27-b381-c4404f908565
"
Простабиотик	РФ	Фри	"http://script.adtika.com/script/f24d7971-dd80-4439-9301-bc780a6edcda
"
Простабиотик	РУ	ЛЮКС	"http://script.adtika.com/script/9f2c8b28-f764-4811-98fd-d3b4051160be
"
Простабиотик	РФ	168	"http://script.adtika.com/script/1e8f4999-a572-40e4-95ca-37b3a7afdd7d
"
Простабиотик	УЗ	Фри	"http://script.adtika.com/script/975e6936-3198-47a8-982d-fbe85ae743f9
"
Простабиотик	УЗ	29990	"http://script.adtika.com/script/7cb98cfe-c48e-4d1b-9f74-fb0bdda41e49
"
Простабиотик	КЗ	фри	"http://script.adtika.com/script/023afb46-2a4e-44f4-b9ae-761182691d80
"
Простабиотик	КЗ	990	" http://script.adtika.com/script/ed8cec1c-c380-43e5-a00d-5bac281dba00
"
Королевские розы	РФ	Фри	http://script.adtika.com/script/c66608f4-6a52-4144-a25c-8a65bbf000a6
Королевские розы	РФ	168	http://script.adtika.com/script/c3cce135-1885-4510-bea7-9673428e2730
Королевские розы	КЗ	Фри	http://script.adtika.com/script/f89c75f1-f13e-422d-84cb-b7a9b549af56
Королевские розы	КЗ	990	http://script.adtika.com/script/cf8b537f-985e-466f-a554-80e86fd68d02
Скорпионикс 	УЗ	Фри	https://script.adtika.com/script/5b027a24-8eb5-4fe9-81c8-9be02518676b
